Date,mag,lon,lat,depth
10/14/1998,3.8,87.0405,27.7972,18
10/16/1998,3.9,85.5902,28.0241,15
10/16/1998,3.8,88.0826,30.0488,37
10/24/1998,4,88.1886,30.3413,23.4
11/10/1998,3.8,80.2898,31.6052,35
11/14/1998,3.9,86.5214,31.0455,13.9
11/26/1998,5.2,87.8501,27.7404,60.8
12/1/1998,4.6,87.6308,27.8913,70.1
12/25/1998,4.2,86.2964,30.2245,35
2/1/1999,4.3,83.1759,28.4292,35
3/1/1999,3.7,87.1191,28.1329,18
3/19/1999,4.7,85.6106,27.7154,10
3/25/1999,3.9,87.3295,28.1969,10
4/7/1999,4.1,81.0326,29.5517,17
4/10/1999,3.7,88.0627,28.4579,35
4/22/1999,3.8,82.05,28.6769,35
4/24/1999,3.9,81.7546,29.3461,31
5/28/1999,4.2,81.0213,29.3588,17
6/3/1999,3.9,88.1376,30.076,37
6/13/1999,3.9,86.484,28.2815,57
7/3/1999,3.8,82.8604,30.9263,35
8/1/1999,5.1,86.7696,28.4503,82.6
8/10/1999,3.9,82.2521,31.5091,10
9/5/1999,4.3,87.4137,27.9932,100
9/5/1999,3.9,80.8967,30.7215,10
9/20/1999,3.8,88.0872,27.4774,35
10/3/1999,4.3,88.144,30.1467,35
11/16/1999,4.6,82.9138,30.5031,35
12/1/1999,4.4,81.4104,29.9516,33
12/21/1999,3.9,86.5418,31.0215,26
12/25/1999,4,87.9474,30.2249,41
12/30/1999,3.9,84.6125,31.1919,35
1/11/2000,4,86.6827,31.3839,35
1/20/2000,4.4,85.7695,27.8634,24.1
1/25/2000,4,86.7242,31.3905,35
1/25/2000,3.8,88.1672,27.4941,22
2/21/2000,4,86.578,28.483,57
2/26/2000,4.6,82.2046,28.4675,27.2
3/13/2000,4,87.7068,27.6608,100
3/13/2000,3.9,81.3352,29.2569,10
5/5/2000,3.9,81.4922,29.4719,27
5/23/2000,4,87.1636,31.0102,35
5/29/2000,4.4,87.1346,30.9496,35
5/29/2000,4,87.1945,31.026,35
6/2/2000,3.8,83.1035,28.1331,10
6/3/2000,4.3,87.2042,31.1239,35
7/3/2000,4.5,84.7643,31.3443,10
7/12/2000,4.3,83.5727,31.4344,35
9/2/2000,3.9,85.3048,28.1475,12
9/6/2000,4.1,86.8827,28.6507,50
10/8/2000,4.7,88.1803,30.3162,22.6
10/9/2000,4,81.7089,29.3223,31
10/26/2000,4.7,81.9216,29.2343,24.4
10/27/2000,4,81.1177,30.6694,10
10/30/2000,4.1,85.6,31.4061,35
11/5/2000,3.6,81.896,28.5596,10
2/27/2001,3.9,87.1554,28.5387,34
3/7/2001,3.9,84.4797,31.1707,35
3/13/2001,3.6,83.6987,28.8224,35
3/25/2001,3.8,85.5643,31.4522,35
3/26/2001,4.2,85.4463,31.3047,35
4/3/2001,4.6,86.0199,27.719,19.3
4/8/2001,3.9,88.1313,27.5376,20
4/12/2001,4.5,88.0355,29.9134,37
4/15/2001,4.1,81.4986,29.2594,27
4/28/2001,5.3,87.1612,28.8175,22.3
4/29/2001,4.6,87.1516,28.6872,34
5/28/2001,3.6,85.7493,29.4208,35
6/13/2001,4.5,85.9181,31.3861,35
6/13/2001,4.2,85.7713,31.4568,35
6/17/2001,3.7,80.6427,30.7491,35
7/2/2001,4.3,86.6762,30.5364,35
7/11/2001,3.9,81.443,29.3997,27
7/16/2001,5,84.8141,28.0451,8.9
7/16/2001,4.1,84.119,28.1948,35
7/25/2001,3.9,80.1552,30.173,16
8/6/2001,4,87.789,28.0372,63.9
9/13/2001,4.3,80.6014,29.7662,23
9/27/2001,4.3,87.742,26.861,32.5
11/7/2001,4.1,85.6024,30.2112,45.4
11/23/2001,3.8,87.6144,31.5821,35
11/27/2001,5.6,81.716,29.5812,22.6
11/27/2001,5.1,81.7425,29.3756,36.6
11/28/2001,3.9,81.696,29.4742,24.6
11/30/2001,4.6,81.6685,29.4541,14.8
11/30/2001,4.1,81.6452,29.471,13.8
12/2/2001,4.1,86.3195,31.3678,35
12/2/2001,3.7,86.1444,31.3002,35
12/3/2001,4,86.3092,31.4248,35
12/7/2001,4.1,80.8647,29.5244,17
12/7/2001,4.1,83.2953,31.8462,35
12/10/2001,4,88.0532,30.0864,37
12/18/2001,4.8,81.7213,29.5305,30.8
12/18/2001,3.7,87.7441,29.7864,35
1/19/2002,4,80.7883,29.0714,35
1/27/2002,3.6,87.9679,29.9481,37
