Date,Magnitude,Longitude,Latitude,Depth
12/21/2003 2:14,3.9,76.5212,32.3871,14
12/22/2003 20:19,3.8,76.4646,29.3233,14.1
2/20/2004 22:46,3.6,80.1491,34.6535,35
2/23/2004 13:34,3.7,78.5894,32.9859,35
3/18/2004 12:28,3.8,76.9686,33.7884,35
3/30/2004 20:53,3.7,76.2219,33.044,10
4/7/2004 9:02,3.8,78.4045,29.0196,9
5/28/2004 21:43,3.8,79.6055,30.3696,17
7/13/2004 12:50,3.8,76.996,33.6837,35
7/22/2004 3:31,3.6,76.9021,32.6229,35
7/27/2004 0:10,4,76.7361,28.9955,16.6
8/22/2004 22:55,3.6,77.56,33.9916,35
9/28/2004 0:39,3.8,79.9213,30.1969,11
11/1/2004 4:03,3.7,77.213,31.7071,8.1
11/11/2004 2:13,4.8,76.577,32.2634,14
11/11/2004 2:46,4,76.4863,32.3917,14
11/11/2004 6:01,3.6,78.374,31.4009,32
11/26/2004 23:53,3.8,77.1423,30.6142,35
12/2/2004 0:19,3.6,79.6597,34.5988,35
12/30/2004 17:05,3.7,76.3181,32.9163,15
1/17/2005 0:49,4.3,80.0233,34.304,28
2/20/2005 11:01,3.8,78.4462,30.8137,0.4
2/28/2005 16:04,3.7,76.3229,32.4639,14
2/28/2005 18:01,4.7,76.5428,32.4307,8.7
4/14/2005 7:11,4.6,76.3681,32.5645,25.6
4/18/2005 20:10,3.8,76.4046,32.6233,10.7
6/18/2005 4:01,3.8,76.2805,32.8336,14.3
7/4/2005 19:44,4.7,76.3494,32.741,15
8/16/2005 3:45,4.3,78.4709,30.8339,22.9
9/5/2005 1:45,4.4,79.2289,30.446,41.2
9/5/2005 16:22,4,79.3763,30.4951,46.8
11/20/2005 4:46,3.7,80.0522,29.9312,26.1
11/29/2005 9:27,4.5,80.0938,34.7464,35
12/14/2005 7:09,5.2,79.2366,30.5131,37.8
12/16/2005 18:01,3.8,79.3346,30.484,45.6
1/3/2006 21:54,3.6,79.8151,34.2592,28
1/17/2006 17:26,4.1,78.6826,33.0094,62.1
2/15/2006 1:37,3.7,76.6429,29.2103,14.4
3/31/2006 11:25,3.7,76.5351,28.824,13
4/21/2006 23:20,3.8,76.7469,32.3616,14
5/1/2006 5:13,3.6,76.7755,28.8748,37
5/9/2006 13:30,4.5,76.6688,32.7514,14
5/26/2006 0:41,5,76.1813,33.0732,45.4
7/18/2006 10:42,4,77.4621,32.8581,35
7/20/2006 0:10,3.8,78.2695,31.7835,11.6
7/20/2006 7:52,3.6,78.3429,31.8086,12
7/21/2006 22:32,3.6,78.3456,31.7438,10.7
8/5/2006 7:33,4.4,80.1481,29.7804,25
8/13/2006 5:57,4.1,80.0828,34.7059,28
9/7/2006 13:05,3.9,78.0476,34.9521,35
10/13/2006 7:18,4.3,80.0986,34.6105,28
10/27/2006 7:55,4.4,80.1159,29.9124,16
12/10/2006 8:00,3.7,77.0204,31.5235,15.4
12/10/2006 8:19,4,77.0258,31.5073,14.1
2/3/2007 0:51,4.1,78.6712,32.0978,12
2/21/2007 0:33,3.9,77.7507,31.3821,9
3/27/2007 11:19,3.9,78.0582,30.985,36.1
4/2/2007 0:40,3.6,76.4029,34.9506,35
4/3/2007 15:35,3.6,76.6575,28.9874,6.6
6/3/2007 8:09,3.8,77.7534,31.3911,15.2
6/14/2007 19:52,3.8,76.6871,32.4694,14
6/17/2007 23:55,3.9,76.6668,32.7014,14
7/22/2007 23:02,5,78.2844,30.8576,27.1
8/7/2007 10:11,4,78.1726,30.9577,9.4
10/4/2007 5:14,4,76.1812,32.5296,20
11/2/2007 21:25,3.6,76.2006,33.1584,31
11/8/2007 4:42,3.8,78.6367,29.418,8.2
12/11/2007 15:56,5.2,77.4057,35.0026,17.3
12/11/2007 16:01,4.1,77.4424,34.9663,21
3/2/2008 7:41,3.7,76.3732,29.1353,2.9
3/8/2008 3:33,3.9,76.5421,33.224,35
5/10/2008 6:35,4.4,76.2467,33.102,28
5/11/2008 20:56,3.8,80.1354,34.8303,35
5/29/2008 22:30,3.6,76.0237,32.6229,20
6/15/2008 11:01,4.1,76.41,32.9739,15
7/5/2008 10:28,4,76.0527,33.4649,26
